requirement_id,type,title,source_ids,source_locator,current_evidence,current_status,confidence,acceptance_ids,validation_target,open_question
"FR-056","functional/security","検証済み認証文脈","SRC-034;SRC-035;SRC-036","RAG guide PDF 99;187; SWEBOK PDF 50","confirmed: auth.ts + verified-identity-provider.ts; forged/missing/inactive direct tests","implemented","inferred","AC-FR056-001;AC-FR056-002","forged tenant/role/group;missing claim;worker context","OQ-RD-001"
"FR-057","functional/security","fail-closed の多層認可","SRC-034;SRC-036;SRC-037","RAG guide PDF 80-81;187-189; FR-052;NFR-011","confirmed: resource-operation-authorization.ts; account-feature-tenant-resource-guard matrix tests","implemented","inferred","AC-FR057-001;AC-FR057-002","account x feature x tenant x resource negative matrix",""
"FR-058","functional/security","アカウント状態とセッション失効","SRC-034;SRC-036;SRC-038","RAG guide PDF 188-189; authorization reports","confirmed: user-directory lifecycle + revocation registry + current-worker authorization tests","implemented","inferred","AC-FR058-001;AC-FR058-002","active token and queued worker after suspend/revoke","OQ-RD-004"
"FR-059","functional/security","単一の資源認可サービスと break-glass 分離","SRC-034;SRC-036;SRC-037;SRC-038","RAG guide PDF 80;187; ARC_ADR_004","confirmed: resource-permission-decision.ts shared by document/folder/search/memory; admin non-bypass tests","implemented","inferred","AC-FR059-001;AC-FR059-002","path parity;SYSTEM_ADMIN without grant","OQ-RD-007"
"FR-060","functional/security","テナント分離","SRC-034;SRC-036","RAG guide PDF 99;119;187","confirmed: tenant composite keys/index across local+Dynamo stores and same-ID two-tenant lifecycle/route tests; API typecheck pass","implemented","inferred","AC-FR060-001;AC-FR060-002","two-tenant CRUD/search/cache/artifact/worker negative matrix","OQ-RD-001"
"FR-061","functional/authorization","フォルダー実効権限と継承","SRC-034;SRC-036;SRC-037;SRC-038","RAG guide PDF 80; ARC_ADR_004","confirmed: folder-permission-service nearest explicit/override/deny/cycle/admin matrix","implemented","inferred","AC-FR061-001;AC-FR061-002","parent-child explicit-inherited-cycle-failure matrix","OQ-RD-002"
"FR-062","functional/authorization","共有方針変更の認可と principal 検証","SRC-034;SRC-036;SRC-038","RAG guide PDF 80; share reports","confirmed: versioned folder/document replace with actor and active same-tenant principal guards","implemented","inferred","AC-FR062-001;AC-FR062-002","actor permission x principal state x tenant matrix","OQ-RD-011"
"FR-063","functional/authorization","文書実効権限の優先順位付き合成","SRC-034;SRC-036;SRC-037","RAG guide PDF 80; chapter specification","confirmed: document permission mandatory deny/ordinary deny/admin/direct-folder composition tests","implemented","inferred","AC-FR063-001;AC-FR063-002","mandatory deny x administrative principal x ordinary deny x direct/folder allow matrix","OQ-RD-002;OQ-RD-003"
"FR-064","functional/product/security","read-only 共有資源の発見・選択","SRC-036;SRC-038","CHAT_USER permissions; share UI reports","confirmed: reader summary/download/chat capability and DocumentWorkspace read-only scenario","implemented","inferred","AC-FR064-001;AC-FR064-002","owner-reader Web E2E;reader response allowlist",""
"FR-065","functional/authorization","文書移動の両端認可","SRC-036;SRC-037;SRC-038","chapter specification move;share/move report","confirmed: document lifecycle coordinator source/destination/current-revoke/fault matrix","implemented","inferred","AC-FR065-001;AC-FR065-002","source/destination/direct grant authorization matrix","OQ-RD-003;OQ-RD-012"
"FR-066","functional/security/lifecycle","共有解除・失効・削除の deny-first 伝播","SRC-034;SRC-036;SRC-038","RAG guide PDF 81;188-189; delete reports","confirmed: deny-first plus tenant-scoped 11-scope durable cleanup ledger across governance/account/role/group/archive/delete/failed-ingest triggers","implemented","inferred","AC-FR066-001;AC-FR066-002","authorization/classification/usage/quality/lifecycle loss race across index/cache/memory/session/worker/evaluation","OQ-RD-004;OQ-RD-009"
"FR-067","functional/security","一時添付の所有者・会話・期限境界","SRC-034;SRC-036;SRC-037","RAG guide PDF 81; chapter specification","confirmed: current tenant/owner/chat/expiry isolation and expiry/owner/stale-chat cleanup registration for source/chunk/memory/cache/queued-run","implemented","inferred","AC-FR067-001;AC-FR067-002","owner x chat x expiry x queued-run matrix","OQ-RD-009"
"FR-068","functional/ingestion/security","情報源台帳・取り込み admission・隔離","SRC-034;SRC-036","RAG guide PDF 59-81;190-194","confirmed: source admission/governance approval protected metadata and staged publication tests","implemented","inferred","AC-FR068-001;AC-FR068-002","protected metadata;MIME/magic/size/malware;unknown-quality rejection","Q-001;Q-002;OQ-RD-009;OQ-RD-010"
"FR-069","functional/ingestion/security","文書からチャンクへの強制属性継承","SRC-034;SRC-036","RAG guide PDF 78-81","confirmed: derived-record security envelope/hash/count/locator and tamper/missing deny tests","implemented","inferred","AC-FR069-001;AC-FR069-002","tenant/auth/classification/usage/quality/lifecycle/provenance references at every derived record;missing-field deny",""
"FR-070","functional/retrieval/security","全検索経路の evidence 前認可","SRC-034;SRC-036","RAG guide PDF 119;125-127;187","confirmed: vector/lexical/memory prefilter and current evidence reauthorization before prompt/citation/cache","implemented","inferred","AC-FR070-001;AC-FR070-002","unauthorized/ineligible top hit;bounded refill;authorization/classification/usage/quality/lifecycle change before expansion/cache/citation/evaluation",""
"FR-071","functional/security","非信頼根拠と prompt injection 防御","SRC-034;SRC-036","RAG guide PDF 146;193-194","confirmed: untrusted-content policy detector/hash-only finding/data-only prompt and attack corpus","implemented","inferred","AC-FR071-001;AC-FR071-002","direct/indirect/encoded/tool/secret attack corpus","Q-003"
"FR-072","functional/lifecycle","版管理索引の安全な切替・ロールバック","SRC-034;SRC-036","RAG guide PDF 93-97;188-189","confirmed: staged publication isolation/reconciliation/fencing/CAS pointer/rollback fault tests","implemented","inferred","AC-FR072-001;AC-FR072-002","stage-by-stage fault injection;exactly-one-active;current deny","OQ-RD-004;OQ-RD-009"
"FR-073","functional/evidence","正本性・時点・矛盾を保つ根拠集合","SRC-034;SRC-036","RAG guide PDF 130-144","confirmed: final evidence roles/version/period/locator/auth and conflict refusal/clarification tests","implemented","inferred","AC-FR073-001;AC-FR073-002","version/time/equal-authority conflict and claim-source corpus","OQ-RD-010"
"FR-074","functional/observability","再現可能な versioned trace","SRC-034;SRC-035;SRC-036","RAG guide PDF 195-197; SWEBOK PDF 60-61","confirmed: replay version manifest with missing/nondeterminism and no current-version substitution","implemented","inferred","AC-FR074-001;AC-FR074-002","request correlation;source/parser/OCR/chunker/embedding/policy/index/model/prompt/pipeline missing-version rejection;replay manifest",""
"FR-075","functional/evaluation","工程別評価と公開ゲート","SRC-034;SRC-035;SRC-036;SRC-037","RAG guide PDF 156-185; SWEBOK PDF 54-61; existing SQ-001","confirmed: versioned case/slice/workload/provenance metrics release audit and fail-closed promotion/deploy gate","implemented","inferred","AC-FR075-001;AC-FR075-002","ingest extraction/chunk/admission/manifest metrics;threshold/non-regression;objective-specific approved improvement;expected-field taint scan;production-equivalence promotion","Q-003;OQ-RD-005"
"FR-076","functional/authorization","保護資源の操作別認可行列","SRC-035;SRC-036;SRC-037","SWEBOK atomic decision; current route/role/resource contracts","confirmed: canonical resource-operation matrix and production authorizer exact-cell/default-deny tests","implemented","inferred","AC-FR076-001;AC-FR076-002","document/folder/resource-group x create/read/update/delete/move/share/search-use enabled allow/deny;unsupported and undefined deny","OQ-RD-003;OQ-RD-011;OQ-RD-012"
"FR-077","functional/authorization","管理主体の不可侵 full 権限","SRC-036;SRC-037;SRC-038","ARC_ADR_004; owner bypass reports","confirmed: folder/document active same-tenant admin principal and mandatory-deny invariant tests","implemented","inferred","AC-FR077-001;AC-FR077-002","mandatory deny x owner/adminPrincipal x ordinary explicit deny x path parity","OQ-RD-002;OQ-RD-003"
"FR-078","functional/authorization/lifecycle","管理主体の移管整合性","SRC-034;SRC-036;SRC-037","resource ownership lifecycle and current stores","confirmed: administrative-principal transfer successor/inventory/preflight/fault reconciliation tests","implemented","inferred","AC-FR078-001;AC-FR078-002","owner deletion/tenant exit x multi-resource partial-failure transfer","OQ-RD-009"
"FR-079","functional/authorization","canonical role catalog","SRC-036;SRC-037;SRC-038","backend/infra/Web role audit; role bug report","confirmed: contract role catalog shared by API・Web・infra・worker and role provisioning parity tests","implemented","inferred","AC-FR079-001;AC-FR079-002","identity/API/Web/infra/worker catalog version contract;unknown role deny","Q-007"
"FR-080","functional/authorization","role 付与・剥奪 guard","SRC-036;SRC-038","admin role routes and role assignment bug report","confirmed: application-role mutation same-tenant/canonical/self/last-admin/reason/session-revoke guards","implemented","inferred","AC-FR080-001;AC-FR080-002","same-tenant/canonical/self/last-admin/reason;session and queued-work refresh","Q-007"
"FR-081","functional/authorization","resource group membership integrity","SRC-036;SRC-037;SRC-038","group membership stores; ARC_ADR_004; group reports","confirmed: membership actor authority/active same-tenant retained-edge/cycle/all-or-nothing tests","implemented","inferred","AC-FR081-001;AC-FR081-002","membership feature x target-group manager/full;same-tenant active retained principal;stale-edge cleanup;namespace collision;nested cycle","OQ-RD-011"
"FR-082","functional/ingestion","loss-aware extraction/normalization","SRC-034;SRC-036","RAG guide ingestion/extraction PDF 59-78","confirmed: source locator/OCR/input-output count/loss warning and no-silent-success tests","implemented","inferred","AC-FR082-001;AC-FR082-002","page/section/span mapping;OCR warnings;size boundary;no silent truncation","Q-001;Q-002"
"FR-083","functional/ingestion/reliability","idempotent staged ingest recovery","SRC-034;SRC-036","RAG guide lifecycle/manifest PDF 59-97","confirmed: scoped checkpoint/idempotency/fencing/winner commit-compensation/reconciliation tests","implemented","inferred","AC-FR083-001;AC-FR083-002;AC-FR083-003","scoped checkpoint retry no duplicates;concurrent attempt generation/fencing;winner-only compensation/publish;partial artifact reconciliation","Q-002"
"FR-084","functional/evaluation/security","isolated benchmark evaluation subject","SRC-017;SRC-036;SRC-037","FR-040; benchmark runner auth report; static policy","confirmed: allowlisted suite and server-owned nonprivileged subject/tenant/corpus override rejection tests","implemented","inferred","AC-FR084-001;AC-FR084-002","runner allowlist positive;normal-user override;two-tenant/two-corpus negative",""
"FR-085","functional/sharing","共有 policy の optimistic concurrency と integrity","SRC-035;SRC-036;SRC-038","SWEBOK consistency; direct share reports","confirmed: folder/document expected-version CAS complete-state and admin-principal invariant tests","implemented","inferred","AC-FR085-001;AC-FR085-002","matching/stale version;atomic state;administrative-principal invariant","OQ-RD-011"
"FR-086","functional/audit/security","security mutation audit","SRC-034;SRC-036;SRC-038","RAG guide trace/audit PDF 195-208; current audit reports","confirmed: security audit outbox/intents across mutation services with reject/write-failure reconciliation tests","implemented","inferred","AC-FR086-001;AC-FR086-002;AC-FR086-003","share/membership/transfer/classification/usage/quality/move/delete/account/role result audit payload;dual-write fault injection","OQ-RD-009"
"FR-087","functional/lifecycle","文書・フォルダー move state coherence","SRC-034;SRC-036;SRC-038","lifecycle manifest guidance; share/move report;GAP-RD-023","confirmed: folder/document lifecycle coordinators stage/commit/reconcile paths policies manifests vectors/index projections","implemented","inferred","AC-FR087-001;AC-FR087-002","document/folder manifest/subtree/chunk/vector/index/path/folder-local-policy-version/inherited-policy/grant fault injection and reconciliation","OQ-RD-003;OQ-RD-012"
