"requirement_id","acceptance_criteria","implementation_evidence","validation_evidence","validation_command_or_suite","acceptance_status","notes_constraints"
"FR-056","AC-FR056-001 検証済み属性のみを使用; AC-FR056-002 必須属性欠損を既定拒否","apps/api/src/auth.ts の resolveVerifiedAppUser は JWT subject と Cognito の current identity、server config tenant を照合し、request claim の tenant/role/group を採用しない。apps/api/src/adapters/verified-identity-provider.ts は account status と current groups を server-side で再取得する。","apps/api/src/auth.test.ts は forged claim、subject/tenant/provider 欠損、停止・削除・失効時刻を直接検証する。apps/api/src/adapters/verified-identity-provider.test.ts は current identity 再読込を検証する。実行結果はこの行では主張しない。","apps/api/src/auth.test.ts; apps/api/src/adapters/verified-identity-provider.test.ts","implemented_verified","local/test の明示 identity は resolveExplicitLocalAppUser に分離され、必須値欠損と非 active を拒否する。"
"FR-057","AC-FR057-001 account/feature/tenant/resource/guard の論理積; AC-FR057-002 完全一致時だけ許可","apps/api/src/security/resource-operation-authorization.ts は identity、active account、exact feature、tenant、resource permission、additional guard を固定順で fail-closed 評価する。apps/api/src/security/current-worker-authorization.ts が worker 境界へ同じ current 条件を適用する。","apps/api/src/security/resource-operation-authorization.test.ts は全 enabled cell の exact feature、各層欠損、unknown policy/guard を直接検証する。apps/api/src/security/current-worker-authorization.test.ts は worker 再評価を検証する。実行結果はこの行では主張しない。","apps/api/src/security/resource-operation-authorization.test.ts; apps/api/src/security/current-worker-authorization.test.ts","implemented_verified","別操作の permission 代用を拒否する assertion がある。"
"FR-058","AC-FR058-001 停止・削除と session/worker 失効; AC-FR058-002 部分成功禁止と deny-first reconciliation","apps/api/src/adapters/user-directory.ts が Cognito disable/delete と global sign-out を実行し、apps/api/src/rag/memorag-service.ts の account lifecycle が authoritative identity、session、managed ledger、reconciliation を順序制御する。","apps/api/src/security/account-lifecycle-current-identity.test.ts は suspend/delete、session revoke failure、deny-first ledger、所有資源移管を検証する。apps/api/src/security/current-worker-authorization.test.ts は suspended/deleted worker を拒否する。実行結果はこの行では主張しない。","apps/api/src/security/account-lifecycle-current-identity.test.ts; apps/api/src/security/current-worker-authorization.test.ts; apps/api/src/adapters/user-directory.test.ts","implemented_verified","Cognito/AWS 実環境ではなく deterministic adapter test。"
"FR-059","AC-FR059-001 全経路で canonical permission/reason 一致; AC-FR059-002 通常 admin role と break-glass の分離","apps/api/src/security/resource-permission-decision.ts を document/folder permission service、hybrid search、memory、citation/evidence 再認可が共有し、ordinary policy deny/unavailable reason を返す。SYSTEM_ADMIN label は通常 resource policy を bypass しない。","apps/api/src/documents/document-permission-service.test.ts、apps/api/src/folders/folder-permission-service.test.ts、apps/api/src/authorization.test.ts、apps/api/src/search/hybrid-search.test.ts が同じ deny/allow precedence と admin 非 bypass を検証する。実行結果はこの行では主張しない。","apps/api/src/documents/document-permission-service.test.ts; apps/api/src/folders/folder-permission-service.test.ts; apps/api/src/authorization.test.ts; apps/api/src/search/hybrid-search.test.ts","implemented_verified","承認済み break-glass route 自体は導入していないため、通常 route から分離され、管理 role 単独では本文を読めない。"
"FR-060","AC-FR060-001 same-ID を含む全 query/write の tenant partition; AC-FR060-002 caller tenant 拡張拒否","tenant-partition.ts/tenant-artifacts.ts と document group/folder policy/group membership/user group/chat/ingest/benchmark run/event stores は local+Dynamo tenant composite key/index を使い、worker artifact も durable tenantId で分離する。","API typecheck pass。tenant stores 9/9、local run/event same-ID 1/1、local document-group 3/3、Dynamo document-group 5/5、resource-group lifecycle 5/5、membership 11/11、route 5/5、RAG artifact/cache tenant negative tests pass と報告済み。","apps/api/src/rag/tenant-artifact-partition.test.ts; apps/api/src/rag/embedding-cache-tenant.test.ts; apps/api/src/security/tenant-partition.test.ts; apps/api/src/adapters/local-document-group-store.test.ts; apps/api/src/adapters/dynamodb-document-group-store.test.ts; apps/api/src/security/resource-group-lifecycle-service.test.ts; apps/api/src/security/resource-group-membership-service.test.ts","implemented_verified","migration/ops は後続運用課題だが、current production read/write/query の tenant partition と same-ID 非漏えいは direct evidence で受け入れた。"
"FR-061","AC-FR061-001 nearest parent 継承と child 完全上書き; AC-FR061-002 mandatory deny と admin invariant","apps/api/src/folders/folder-permission-service.ts は nearest explicit policy、child override、cycle/integrity、tenant/lifecycle mandatory deny、active same-tenant adminPrincipal full を一つの decision で評価する。","apps/api/src/folders/folder-permission-service.test.ts は継承、完全上書き、legacy boundary、archived/cross-tenant/cycle/unreadable policy、admin invariant を直接検証する。実行結果はこの行では主張しない。","apps/api/src/folders/folder-permission-service.test.ts","implemented_verified","通常 policy 不明は非管理主体を none にし、mandatory deny は管理主体にも優先する。"
"FR-062","AC-FR062-001 share feature + target full; AC-FR062-002 active same-tenant canonical principal","apps/api/src/folders/folder-permission-service.ts と apps/api/src/documents/document-permission-service.ts の versioned replace が actor guard、directory/group lookup、principal type/tenant/status、既存 state 保持を実装する。versioned GET/PUT routes が同サービスへ委譲する。","folder/document permission service tests は feature/full 欠損、inactive/cross-tenant/role principal、成功置換を検証する。folder-share-routes.test.ts と document-share-versioned-routes.test.ts は HTTP contract 用 direct test だが listener 実行結果はここでは主張しない。","apps/api/src/folders/folder-permission-service.test.ts; apps/api/src/documents/document-permission-service.test.ts; apps/api/src/folder-share-routes.test.ts; apps/api/src/routes/document-share-versioned-routes.test.ts","implemented_verified","HTTP listener suite は sandbox の listen EPERM 制約があり得るため、service-level deterministic evidence と区別する。"
"FR-063","AC-FR063-001 mandatory deny/explicit deny/admin invariant の優先順位; AC-FR063-002 direct + folder grant の一貫合成","apps/api/src/documents/document-permission-service.ts は direct document と複数 folder contribution を versioned decision に合成し、mandatory deny、ordinary explicit deny、administrative principal、allow の順を固定する。","apps/api/src/documents/document-permission-service.test.ts は folder allow + direct deny、unreadable policy、owner mandatory deny、direct/folder 合成と contribution を検証する。search/memory tests も同 service を通す。実行結果はこの行では主張しない。","apps/api/src/documents/document-permission-service.test.ts; apps/api/src/search/hybrid-search.test.ts; apps/api/src/chat-orchestration/nodes/retrieve-memory.test.ts","implemented_verified","decision は policyVersion、reasonCode、contributions を保持する。"
"FR-064","AC-FR064-001 readOnly summary/view/download/chat scope; AC-FR064-002 capability false/欠損で管理操作非表示・内部 metadata 非表示","apps/api/src/rag/memorag-service.ts と document reader route は authorized summary/capabilities と抽出 text download を返し、apps/web/src/features/documents/components/DocumentWorkspace.tsx は server capability で操作を出し分ける。","apps/web/src/features/documents/components/DocumentWorkspace.test.tsx の read-only 共有文書 scenario は発見、閲覧、download、chat 選択、管理操作非表示、documentId/principal/internal metadata 非表示を検証する。documentsApi.test.ts は download contract を検証する。実行結果はこの行では主張しない。","apps/web/src/features/documents/components/DocumentWorkspace.test.tsx; apps/web/src/features/documents/api/documentsApi.test.ts; apps/api/src/document-reader-routes.test.ts","implemented_verified","reader HTTP test の listener 実行結果はここでは主張しない。"
"FR-065","AC-FR065-001 move feature/source full/destination full/same tenant の全 guard; AC-FR065-002 coordinator だけへ許可 decision","apps/api/src/documents/document-lifecycle-mutation-coordinator.ts は current actor、document、全 source folder、destination folder を再評価し、manifest CAS 前には projection を active にしない。","apps/api/src/documents/document-lifecycle-mutation-coordinator.test.ts は source/destination permission、ordinary deny、current revoke、projection failure、concurrent move を検証する。実行結果はこの行では主張しない。","apps/api/src/documents/document-lifecycle-mutation-coordinator.test.ts","implemented_verified","監査と state coherence は同 coordinator の FR-086/087 evidence に接続する。"
